age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
60;admin.;married;secondary;True;290;True;True;unknown;5;may;583;1;-1;0;unknown;True
60;blue-collar;married;unknown;True;54;True;True;unknown;5;may;221;1;-1;0;unknown;True
57;entrepreneur;divorced;secondary;True;-37;True;True;unknown;5;may;173;1;-1;0;unknown;True
36;management;married;tertiary;True;101;True;True;unknown;5;may;426;1;-1;0;unknown;True
55;blue-collar;married;secondary;True;383;True;True;unknown;5;may;287;1;-1;0;unknown;True
60;retired;married;tertiary;True;81;True;True;unknown;5;may;101;1;-1;0;unknown;True
39;technician;married;secondary;True;0;True;True;unknown;5;may;203;1;-1;0;unknown;True
46;management;married;tertiary;True;229;True;True;unknown;5;may;197;1;-1;0;unknown;True
44;blue-collar;married;secondary;True;-674;True;True;unknown;5;may;257;1;-1;0;unknown;True
53;blue-collar;married;primary;True;90;True;True;unknown;5;may;124;1;-1;0;unknown;True
52;blue-collar;married;primary;True;128;True;True;unknown;5;may;229;1;-1;0;unknown;True
59;blue-collar;married;primary;True;179;True;True;unknown;5;may;55;3;-1;0;unknown;True
27;technician;single;tertiary;True;0;True;True;unknown;5;may;400;1;-1;0;unknown;True
44;blue-collar;married;secondary;True;54;True;True;unknown;5;may;197;1;-1;0;unknown;True
47;technician;married;tertiary;True;151;True;True;unknown;5;may;190;1;-1;0;unknown;True
34;admin.;married;secondary;True;61;True;True;unknown;5;may;21;1;-1;0;unknown;True
59;retired;single;secondary;True;30;True;True;unknown;5;may;514;1;-1;0;unknown;True
45;management;married;tertiary;True;523;True;True;unknown;5;may;849;2;-1;0;unknown;True
29;services;divorced;secondary;True;31;True;True;unknown;5;may;194;1;-1;0;unknown;True
46;technician;divorced;secondary;True;79;True;True;unknown;5;may;144;1;-1;0;unknown;True
56;self-employed;married;primary;True;-34;True;True;unknown;5;may;212;2;-1;0;unknown;True
36;blue-collar;married;primary;True;448;True;True;unknown;5;may;286;1;-1;0;unknown;True
59;retired;divorced;primary;True;81;True;True;unknown;5;may;107;1;-1;0;unknown;True
44;blue-collar;married;secondary;True;144;True;True;unknown;5;may;247;2;-1;0;unknown;True
41;admin.;married;secondary;True;351;True;True;unknown;5;may;518;1;-1;0;unknown;True
33;management;single;tertiary;True;-67;True;True;unknown;5;may;364;1;-1;0;unknown;True
59;management;divorced;tertiary;True;262;True;True;unknown;5;may;178;1;-1;0;unknown;True
57;technician;married;primary;True;0;True;True;unknown;5;may;98;1;-1;0;unknown;True
56;technician;divorced;unknown;True;56;True;True;unknown;5;may;439;1;-1;0;unknown;True
51;blue-collar;married;secondary;True;26;True;True;unknown;5;may;79;1;-1;0;unknown;True
34;admin.;married;unknown;True;3;True;True;unknown;5;may;120;3;-1;0;unknown;True
43;services;married;secondary;True;41;True;True;unknown;5;may;127;2;-1;0;unknown;True
52;technician;married;tertiary;True;7;True;True;unknown;5;may;175;1;-1;0;unknown;True
33;technician;single;secondary;True;105;True;True;unknown;5;may;262;2;-1;0;unknown;True
29;admin.;single;secondary;True;818;True;True;unknown;5;may;61;1;-1;0;unknown;True
34;services;married;secondary;True;-16;True;True;unknown;5;may;78;1;-1;0;unknown;True
31;blue-collar;married;secondary;True;0;True;True;unknown;5;may;143;1;-1;0;unknown;True
55;services;married;secondary;True;2476;True;True;unknown;5;may;579;1;-1;0;unknown;True
55;management;married;unknown;True;1185;True;True;unknown;5;may;677;1;-1;0;unknown;True
32;admin.;single;secondary;True;217;True;True;unknown;5;may;345;1;-1;0;unknown;True
38;technician;single;secondary;True;1685;True;True;unknown;5;may;185;1;-1;0;unknown;True
55;admin.;single;secondary;True;802;True;True;unknown;5;may;100;2;-1;0;unknown;True
28;unemployed;single;tertiary;True;0;True;True;unknown;5;may;125;2;-1;0;unknown;True
23;blue-collar;married;secondary;True;94;True;True;unknown;5;may;193;1;-1;0;unknown;True
32;technician;single;secondary;True;0;True;True;unknown;5;may;136;1;-1;0;unknown;True
43;services;single;unknown;True;0;True;True;unknown;5;may;73;1;-1;0;unknown;True
32;blue-collar;married;secondary;True;517;True;True;unknown;5;may;528;1;-1;0;unknown;True
46;blue-collar;married;secondary;True;265;True;True;unknown;5;may;541;1;-1;0;unknown;True
53;housemaid;divorced;primary;True;947;True;True;unknown;5;may;163;1;-1;0;unknown;True
34;self-employed;single;secondary;True;3;True;True;unknown;5;may;301;1;-1;0;unknown;True
57;unemployed;married;tertiary;True;42;True;True;unknown;5;may;46;1;-1;0;unknown;True
37;blue-collar;married;secondary;True;37;True;True;unknown;5;may;204;1;-1;0;unknown;True
59;blue-collar;married;secondary;True;57;True;True;unknown;5;may;98;1;-1;0;unknown;True
33;services;married;secondary;True;22;True;True;unknown;5;may;71;1;-1;0;unknown;True
56;blue-collar;divorced;primary;True;8;True;True;unknown;5;may;157;2;-1;0;unknown;True
48;unemployed;married;secondary;True;293;True;True;unknown;5;may;243;1;-1;0;unknown;True
43;services;married;primary;True;3;True;True;unknown;5;may;186;2;-1;0;unknown;True
54;blue-collar;married;primary;True;348;True;True;unknown;5;may;579;2;-1;0;unknown;True
51;blue-collar;married;unknown;True;-19;True;True;unknown;5;may;163;2;-1;0;unknown;True
26;student;single;secondary;True;0;True;True;unknown;5;may;610;2;-1;0;unknown;True
40;management;married;tertiary;True;-4;True;True;unknown;5;may;2033;1;-1;0;unknown;True
39;management;married;secondary;True;18;True;True;unknown;5;may;85;1;-1;0;unknown;True
50;technician;married;primary;True;139;True;True;unknown;5;may;114;2;-1;0;unknown;True
41;services;married;secondary;True;0;True;True;unknown;5;may;114;2;-1;0;unknown;True
51;blue-collar;married;unknown;True;1883;True;True;unknown;5;may;57;1;-1;0;unknown;True
60;retired;divorced;secondary;True;216;True;True;unknown;5;may;238;1;-1;0;unknown;True
52;blue-collar;married;secondary;True;782;True;True;unknown;5;may;93;3;-1;0;unknown;True
48;blue-collar;married;secondary;True;904;True;True;unknown;5;may;128;2;-1;0;unknown;True
48;services;married;unknown;True;1705;True;True;unknown;5;may;107;1;-1;0;unknown;True
39;technician;single;tertiary;True;47;True;True;unknown;5;may;181;1;-1;0;unknown;True
47;services;single;secondary;True;176;True;True;unknown;5;may;303;2;-1;0;unknown;True
40;blue-collar;married;secondary;True;1225;True;True;unknown;5;may;558;5;-1;0;unknown;True
45;technician;married;secondary;True;86;True;True;unknown;5;may;270;1;-1;0;unknown;True
26;admin.;single;secondary;True;82;True;True;unknown;5;may;228;1;-1;0;unknown;True
52;management;married;tertiary;True;271;True;True;unknown;5;may;99;1;-1;0;unknown;True
54;technician;married;secondary;True;1378;True;True;unknown;5;may;240;1;-1;0;unknown;True
54;admin.;married;tertiary;True;184;True;True;unknown;5;may;673;2;-1;0;unknown;True
50;blue-collar;married;primary;True;0;True;True;unknown;5;may;233;3;-1;0;unknown;True
35;blue-collar;married;secondary;True;0;True;True;unknown;5;may;1056;1;-1;0;unknown;True
44;services;married;secondary;True;1357;True;True;unknown;5;may;250;1;-1;0;unknown;True
53;entrepreneur;married;unknown;True;19;True;True;unknown;5;may;252;1;-1;0;unknown;True
35;retired;single;primary;True;434;True;True;unknown;5;may;138;1;-1;0;unknown;True
60;admin.;divorced;secondary;True;92;True;True;unknown;5;may;130;1;-1;0;unknown;True
53;admin.;divorced;secondary;True;1151;True;True;unknown;5;may;412;1;-1;0;unknown;True
48;unemployed;married;secondary;True;41;True;True;unknown;5;may;179;2;-1;0;unknown;True
34;technician;married;secondary;True;51;True;True;unknown;5;may;19;2;-1;0;unknown;True
54;services;married;secondary;True;214;True;True;unknown;5;may;458;2;-1;0;unknown;True
51;management;married;secondary;True;1161;True;True;unknown;5;may;717;1;-1;0;unknown;True
31;services;married;tertiary;True;37;True;True;unknown;5;may;313;1;-1;0;unknown;True
35;technician;divorced;secondary;True;787;True;True;unknown;5;may;683;2;-1;0;unknown;True
35;services;married;secondary;True;59;True;True;unknown;5;may;1077;1;-1;0;unknown;True
38;technician;married;secondary;True;253;True;True;unknown;5;may;416;1;-1;0;unknown;True
36;admin.;married;tertiary;True;211;True;True;unknown;5;may;146;2;-1;0;unknown;True
58;retired;married;primary;True;235;True;True;unknown;5;may;167;1;-1;0;unknown;True
40;services;divorced;unknown;True;4384;True;True;unknown;5;may;315;1;-1;0;unknown;True
54;management;married;secondary;True;4080;True;True;unknown;5;may;140;1;-1;0;unknown;True
34;blue-collar;single;secondary;True;53;True;True;unknown;5;may;346;1;-1;0;unknown;True
31;management;single;tertiary;True;0;True;True;unknown;5;may;562;1;-1;0;unknown;True
51;retired;married;secondary;True;2127;True;True;unknown;5;may;172;1;-1;0;unknown;True
33;management;married;tertiary;True;377;True;True;unknown;5;may;217;1;-1;0;unknown;True
55;management;married;tertiary;True;73;True;True;unknown;5;may;142;2;-1;0;unknown;True
42;admin.;married;secondary;True;445;True;True;unknown;5;may;67;1;-1;0;unknown;True
34;blue-collar;married;secondary;True;243;True;True;unknown;5;may;291;1;-1;0;unknown;True
33;blue-collar;single;secondary;True;307;True;True;unknown;5;may;309;2;-1;0;unknown;True
38;services;married;secondary;True;155;True;True;unknown;5;may;248;1;-1;0;unknown;True
50;technician;divorced;tertiary;True;173;True;True;unknown;5;may;98;1;-1;0;unknown;True
43;management;married;tertiary;True;400;True;True;unknown;5;may;256;1;-1;0;unknown;True
61;blue-collar;divorced;primary;True;1428;True;True;unknown;5;may;82;2;-1;0;unknown;True
47;admin.;married;secondary;True;219;True;True;unknown;5;may;577;1;-1;0;unknown;True
48;self-employed;married;tertiary;True;7;True;True;unknown;5;may;286;1;-1;0;unknown;True
44;blue-collar;married;secondary;True;575;True;True;unknown;5;may;477;1;-1;0;unknown;True
35;student;single;unknown;True;298;True;True;unknown;5;may;611;2;-1;0;unknown;True
35;services;married;secondary;True;0;True;True;unknown;5;may;471;1;-1;0;unknown;True
50;services;married;secondary;True;5699;True;True;unknown;5;may;381;2;-1;0;unknown;True
41;management;married;tertiary;True;176;True;True;unknown;5;may;42;1;-1;0;unknown;True
41;management;married;tertiary;True;517;True;True;unknown;5;may;251;1;-1;0;unknown;True
39;services;single;unknown;True;257;True;True;unknown;5;may;408;1;-1;0;unknown;True
42;retired;married;secondary;True;56;True;True;unknown;5;may;215;1;-1;0;unknown;True
38;blue-collar;married;secondary;True;-390;True;True;unknown;5;may;287;1;-1;0;unknown;True
53;retired;married;secondary;True;330;True;True;unknown;5;may;216;2;-1;0;unknown;True
59;housemaid;divorced;primary;True;195;True;True;unknown;5;may;366;2;-1;0;unknown;True
36;services;married;secondary;True;301;True;True;unknown;5;may;210;1;-1;0;unknown;True
54;blue-collar;married;primary;True;-41;True;True;unknown;5;may;288;1;-1;0;unknown;True
40;technician;married;tertiary;True;483;True;True;unknown;5;may;168;1;-1;0;unknown;True
47;unknown;married;unknown;True;28;True;True;unknown;5;may;338;2;-1;0;unknown;True
53;unemployed;married;unknown;True;13;True;True;unknown;5;may;410;3;-1;0;unknown;True
46;housemaid;married;primary;True;965;True;True;unknown;5;may;177;1;-1;0;unknown;True
39;management;married;tertiary;True;378;True;True;unknown;5;may;127;2;-1;0;unknown;True
40;unemployed;married;secondary;True;219;True;True;unknown;5;may;357;1;-1;0;unknown;True
28;blue-collar;married;primary;True;324;True;True;unknown;5;may;175;1;-1;0;unknown;True
35;entrepreneur;divorced;secondary;True;-69;True;True;unknown;5;may;300;1;-1;0;unknown;True
55;retired;married;secondary;True;0;True;True;unknown;5;may;136;1;-1;0;unknown;True
43;technician;divorced;unknown;True;205;True;True;unknown;5;may;1419;1;-1;0;unknown;True
48;blue-collar;married;primary;True;278;True;True;unknown;5;may;125;2;-1;0;unknown;True
58;management;married;unknown;True;1065;True;True;unknown;5;may;213;3;-1;0;unknown;True
33;management;single;tertiary;True;34;True;True;unknown;5;may;27;1;-1;0;unknown;True
36;blue-collar;married;unknown;True;1033;True;True;unknown;5;may;238;2;-1;0;unknown;True
53;services;divorced;secondary;True;1467;True;True;unknown;5;may;124;1;-1;0;unknown;True
47;blue-collar;married;primary;True;-12;True;True;unknown;5;may;18;1;-1;0;unknown;True
31;services;married;secondary;True;388;True;True;unknown;5;may;730;2;-1;0;unknown;True
57;entrepreneur;married;secondary;True;294;True;True;unknown;5;may;746;2;-1;0;unknown;True
53;blue-collar;married;unknown;True;1827;True;True;unknown;5;may;121;1;-1;0;unknown;True
55;blue-collar;married;primary;True;627;True;True;unknown;5;may;247;1;-1;0;unknown;True
45;blue-collar;married;primary;True;25;True;True;unknown;5;may;40;1;-1;0;unknown;True
53;admin.;divorced;secondary;True;315;True;True;unknown;5;may;181;2;-1;0;unknown;True
37;blue-collar;married;primary;True;0;True;True;unknown;5;may;79;1;-1;0;unknown;True
44;admin.;divorced;secondary;True;66;True;True;unknown;5;may;206;1;-1;0;unknown;True
49;blue-collar;divorced;primary;True;-9;True;True;unknown;5;may;389;1;-1;0;unknown;True
46;technician;married;secondary;True;349;True;True;unknown;5;may;127;1;-1;0;unknown;True
43;entrepreneur;married;unknown;True;100;True;True;unknown;5;may;702;1;-1;0;unknown;True
38;admin.;married;secondary;True;0;True;True;unknown;5;may;151;1;-1;0;unknown;True
43;technician;married;secondary;True;434;True;True;unknown;5;may;117;1;-1;0;unknown;True
49;management;married;tertiary;True;3237;True;True;unknown;5;may;232;3;-1;0;unknown;True
42;management;married;unknown;True;275;True;True;unknown;5;may;408;2;-1;0;unknown;True
22;blue-collar;single;secondary;True;0;True;True;unknown;5;may;179;2;-1;0;unknown;True
40;management;married;tertiary;True;207;True;True;unknown;5;may;39;1;-1;0;unknown;True
39;blue-collar;married;secondary;True;483;True;True;unknown;5;may;282;1;-1;0;unknown;True
51;services;married;secondary;True;2248;True;True;unknown;5;may;714;2;-1;0;unknown;True
49;admin.;married;secondary;True;428;True;True;unknown;5;may;50;1;-1;0;unknown;True
53;blue-collar;married;secondary;True;0;True;True;unknown;5;may;181;1;-1;0;unknown;True
34;services;single;secondary;True;0;True;True;unknown;5;may;142;1;-1;0;unknown;True
33;technician;divorced;secondary;True;140;True;True;unknown;5;may;227;1;-1;0;unknown;True
50;management;single;tertiary;True;297;True;True;unknown;5;may;119;1;-1;0;unknown;True
39;blue-collar;married;primary;True;279;True;True;unknown;5;may;361;1;-1;0;unknown;True
59;entrepreneur;divorced;secondary;True;901;True;True;unknown;5;may;73;3;-1;0;unknown;True
30;technician;single;secondary;True;2573;True;True;unknown;5;may;67;2;-1;0;unknown;True
36;services;married;secondary;True;143;True;True;unknown;5;may;350;1;-1;0;unknown;True
40;blue-collar;married;secondary;True;475;True;True;unknown;5;may;332;2;-1;0;unknown;True
53;blue-collar;married;secondary;True;70;True;True;unknown;5;may;611;2;-1;0;unknown;True
34;management;single;tertiary;True;318;True;True;unknown;5;may;113;2;-1;0;unknown;True
37;technician;married;secondary;True;275;True;True;unknown;5;may;132;1;-1;0;unknown;True
42;management;divorced;tertiary;True;742;True;True;unknown;5;may;58;3;-1;0;unknown;True
41;entrepreneur;married;primary;True;236;True;True;unknown;5;may;151;1;-1;0;unknown;True
30;student;single;tertiary;True;25;True;True;unknown;5;may;89;2;-1;0;unknown;True
37;management;single;tertiary;True;600;True;True;unknown;5;may;152;1;-1;0;unknown;True
39;admin.;divorced;secondary;True;-349;True;True;unknown;5;may;611;2;-1;0;unknown;True
41;blue-collar;married;primary;True;183;True;True;unknown;5;may;110;2;-1;0;unknown;True
40;blue-collar;married;primary;True;0;True;True;unknown;5;may;463;1;-1;0;unknown;True
42;management;single;tertiary;True;0;True;True;unknown;5;may;562;2;-1;0;unknown;True
40;blue-collar;divorced;primary;True;0;True;True;unknown;5;may;962;1;-1;0;unknown;True
57;technician;married;secondary;True;1078;True;True;unknown;5;may;10;4;-1;0;unknown;True
56;entrepreneur;divorced;secondary;True;155;True;True;unknown;5;may;118;3;-1;0;unknown;True
37;admin.;married;secondary;True;190;True;True;unknown;5;may;92;2;-1;0;unknown;True
59;retired;married;secondary;True;319;True;True;unknown;5;may;143;3;-1;0;unknown;True
39;services;divorced;secondary;True;-185;True;True;unknown;5;may;189;3;-1;0;unknown;True
49;services;married;secondary;True;47;True;True;unknown;5;may;234;2;-1;0;unknown;True
38;services;single;secondary;True;570;True;True;unknown;5;may;75;2;-1;0;unknown;True
36;self-employed;married;tertiary;True;19;True;True;unknown;5;may;189;2;-1;0;unknown;True
50;blue-collar;married;primary;True;61;True;True;unknown;5;may;621;3;-1;0;unknown;True
41;admin.;married;secondary;True;-62;True;True;unknown;5;may;55;2;-1;0;unknown;True
54;technician;married;tertiary;True;258;True;True;unknown;5;may;310;4;-1;0;unknown;True
58;blue-collar;married;primary;True;76;True;True;unknown;5;may;156;2;-1;0;unknown;True
30;blue-collar;single;secondary;True;0;True;True;unknown;5;may;5;2;-1;0;unknown;True
33;admin.;single;secondary;True;352;True;True;unknown;5;may;225;2;-1;0;unknown;True
47;admin.;married;secondary;True;368;True;True;unknown;5;may;125;2;-1;0;unknown;True
50;technician;single;tertiary;True;339;True;True;unknown;5;may;2;3;-1;0;unknown;True
32;blue-collar;married;secondary;True;1331;True;True;unknown;5;may;286;2;-1;0;unknown;True
40;self-employed;married;secondary;True;672;True;True;unknown;5;may;164;2;-1;0;unknown;True
37;management;married;tertiary;True;58;True;True;unknown;5;may;98;2;-1;0;unknown;True
54;technician;single;unknown;True;447;True;True;unknown;5;may;742;2;-1;0;unknown;True
24;student;single;secondary;True;423;True;True;unknown;5;may;226;3;-1;0;unknown;True
54;management;married;tertiary;True;0;True;True;unknown;5;may;120;2;-1;0;unknown;True
34;technician;married;secondary;True;19;True;True;unknown;5;may;362;4;-1;0;unknown;True
56;technician;divorced;primary;True;13;True;True;unknown;5;may;357;2;-1;0;unknown;True
31;blue-collar;single;secondary;True;3;True;True;unknown;5;may;200;2;-1;0;unknown;True
24;student;single;secondary;True;82;True;True;unknown;5;may;204;2;-1;0;unknown;True
42;blue-collar;divorced;primary;True;28;True;True;unknown;5;may;126;3;-1;0;unknown;True
57;technician;married;secondary;True;792;True;True;unknown;5;may;65;2;-1;0;unknown;True
42;blue-collar;married;unknown;True;408;True;True;unknown;5;may;107;2;-1;0;unknown;True
51;admin.;married;secondary;True;531;True;True;unknown;5;may;267;2;-1;0;unknown;True
57;retired;married;secondary;True;211;True;True;unknown;5;may;248;2;-1;0;unknown;True
36;services;single;secondary;True;62;True;True;unknown;5;may;215;2;-1;0;unknown;True
53;services;married;unknown;True;257;True;True;unknown;5;may;209;2;-1;0;unknown;True
50;technician;married;secondary;True;1234;True;True;unknown;5;may;205;2;-1;0;unknown;True
54;management;married;tertiary;True;313;True;True;unknown;5;may;83;2;-1;0;unknown;True
55;blue-collar;married;secondary;True;89;True;True;unknown;5;may;106;3;-1;0;unknown;True
44;blue-collar;married;secondary;True;129;True;True;unknown;5;may;189;2;-1;0;unknown;True
43;management;married;unknown;True;0;True;True;unknown;5;may;105;2;-1;0;unknown;True
56;admin.;married;secondary;True;353;True;True;unknown;5;may;106;2;-1;0;unknown;True
54;technician;married;unknown;True;851;True;True;unknown;5;may;108;2;-1;0;unknown;True
55;services;divorced;primary;True;96;True;True;unknown;5;may;311;2;-1;0;unknown;True
37;services;divorced;secondary;True;398;True;True;unknown;5;may;214;2;-1;0;unknown;True
33;admin.;single;tertiary;True;193;True;True;unknown;5;may;132;2;-1;0;unknown;True
46;admin.;married;secondary;True;-358;True;True;unknown;5;may;358;2;-1;0;unknown;True
36;blue-collar;married;secondary;True;539;True;True;unknown;5;may;453;2;-1;0;unknown;True
51;technician;single;secondary;True;0;True;True;unknown;5;may;364;2;-1;0;unknown;True
40;retired;single;primary;True;0;True;True;unknown;5;may;136;2;-1;0;unknown;True
42;blue-collar;married;secondary;True;490;True;True;unknown;5;may;386;2;-1;0;unknown;True
